Index,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntRegularProds,MntGoldProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpOverall,Complain,Age,Customer_Days,marital_status,education
1001,58138,0,0,58,635,88,546,172,88,1441,88,1529,3,8,10,4,7,0,0,0,0,0,0,0,63,2822,Single,Graduation
1002,46344,1,1,38,11,1,6,2,1,15,6,21,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,Single,Graduation
1003,71613,0,0,26,426,49,127,111,21,692,42,734,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,Together,Graduation
1004,26646,1,0,26,11,4,20,10,3,43,5,48,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,Together,Graduation
1005,58293,1,0,94,173,43,118,46,27,392,15,407,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,Married,PHD
1006,62513,0,1,16,520,42,98,0,42,688,14,702,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,Together,Master
1007,55635,0,1,34,235,65,164,50,49,536,27,563,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,Divorced,Graduation
1008,33454,1,0,32,76,10,56,3,1,123,23,146,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,Married,PHD
1009,30351,1,0,19,14,0,24,3,3,42,2,44,1,3,0,2,9,0,0,0,0,0,0,0,46,2547,Together,PHD
1010,5648,1,1,68,28,0,6,1,1,23,13,36,1,1,0,0,20,0,0,1,0,0,1,0,70,2267,Together,PHD
1011,7500,0,0,59,6,16,11,11,1,29,16,45,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,Married,Basic
1012,63033,0,0,82,194,61,480,225,112,1042,30,1072,1,3,4,8,2,0,0,0,0,0,0,0,61,2385,Divorced,Graduation
1013,59354,1,1,53,233,2,53,3,5,282,14,296,3,6,1,5,6,0,0,0,0,0,0,0,68,2385,Divorced,Master
1014,17323,0,0,38,3,14,17,6,1,36,5,41,1,1,0,3,8,0,0,0,0,0,0,0,33,2786,Married,Graduation
1015,82800,0,0,23,1006,22,115,59,68,1225,45,1270,1,7,6,12,3,1,0,0,0,1,2,0,74,2741,Single,PHD
1016,41850,1,1,51,53,5,19,2,13,88,4,92,3,3,0,3,8,0,0,0,0,0,0,0,40,2711,Married,Graduation
1017,37760,0,0,20,84,5,38,150,12,261,28,289,2,4,1,6,7,0,0,0,0,0,0,0,74,2826,Together,Graduation
1018,76995,0,1,91,1012,80,498,0,16,1430,176,1606,2,11,4,9,5,1,0,0,0,0,1,0,71,2617,Married,Master
1019,33812,1,0,86,4,17,19,30,24,55,39,94,2,2,1,3,6,0,0,0,0,0,0,0,35,2762,Single,2n Cycle
1020,37040,0,0,41,86,2,73,69,38,220,48,268,1,4,2,5,8,0,0,0,0,0,0,0,38,2849,Married,Graduation
1021,2447,1,0,42,1,1,1725,1,1,1728,1,1729,15,0,28,0,1,0,0,0,0,0,0,0,41,2698,Married,Graduation
1022,58607,0,1,63,867,0,86,0,0,934,19,953,3,2,3,9,8,0,0,0,1,0,1,0,71,2712,Married,PHD
1023,65324,0,1,0,384,0,102,21,32,534,5,539,3,6,2,9,4,0,0,0,0,0,0,0,66,2328,Married,PHD
1024,40689,0,1,69,270,3,27,39,6,246,99,345,7,7,1,5,8,0,0,0,0,0,0,0,69,2627,Together,Graduation
1025,18589,0,0,89,6,4,25,15,12,49,13,62,2,2,1,3,7,0,0,0,0,0,0,0,51,2702,Single,Graduation
1026,53359,1,1,4,173,4,30,3,6,175,41,216,4,5,1,4,7,0,0,0,0,0,0,0,44,2557,Married,Graduation
1027,38360,1,0,26,36,2,42,20,21,111,10,121,2,2,1,4,3,0,0,0,0,0,0,0,31,2553,Married,Graduation
1028,84618,0,0,96,684,100,801,21,66,1672,0,1672,1,6,9,10,2,0,0,0,0,1,1,0,55,2378,Married,PHD
1029,10979,0,0,34,8,4,10,2,2,22,4,26,2,3,0,3,5,0,0,0,0,0,0,0,31,2197,Divorced,Master
1030,38620,0,0,56,112,17,44,34,22,140,89,229,1,2,5,3,3,0,0,0,0,0,0,0,57,2573,Together,Master
1031,40548,0,1,31,110,0,5,2,0,114,3,117,2,2,1,4,5,0,0,0,1,0,1,0,50,2786,Together,Graduation
1032,46610,0,2,8,96,12,96,33,22,216,43,259,6,4,1,6,6,0,0,0,0,0,0,0,68,2767,Divorced,PHD
1033,68657,0,0,4,482,34,471,119,68,1152,22,1174,1,3,5,9,7,0,0,0,0,0,0,0,74,2653,Married,Master
1034,49389,1,1,55,40,0,19,2,1,59,3,62,1,2,0,3,7,0,0,0,0,0,0,0,69,2463,Single,Master
1035,67353,0,1,37,702,17,151,0,8,843,35,878,5,5,6,12,2,0,0,0,0,0,0,0,50,2339,Married,PHD
1036,23718,1,0,76,6,3,14,15,7,9,36,45,3,3,1,2,7,0,0,0,0,0,0,0,44,2459,Married,2n Cycle
1037,42429,0,1,99,55,0,6,2,0,59,4,63,2,1,1,3,5,0,0,0,0,0,0,0,47,2297,Widow,Graduation
1038,48948,0,0,53,437,8,206,160,49,818,42,860,2,7,10,5,6,0,0,1,0,0,1,0,77,2672,Divorced,PHD
1039,80011,0,1,3,421,76,536,82,178,1191,102,1293,2,8,6,5,4,0,0,0,0,0,0,0,40,2585,Married,Graduation
1040,20559,1,0,88,13,1,29,3,0,39,7,46,2,2,0,3,8,0,0,0,0,0,0,0,35,2633,Married,Master
1041,21994,0,1,4,9,0,6,3,1,16,3,19,1,0,0,3,5,0,0,0,0,0,0,0,63,2711,Together,Graduation
1042,7500,1,0,19,3,1,10,3,2,7,12,19,3,2,0,3,5,0,0,0,0,0,0,0,45,2429,Married,Master
1043,79941,0,0,72,123,164,266,227,30,636,174,810,1,2,4,9,1,0,0,0,0,0,0,0,44,2160,Single,Graduation
1044,7500,0,0,24,3,18,14,15,22,22,50,72,3,3,1,3,9,0,0,0,0,0,0,0,24,2756,Married,2n Cycle
1045,41728,1,0,92,13,6,15,3,5,29,13,42,1,2,0,2,10,0,0,0,0,0,0,0,52,2560,Together,Graduation
1046,72550,1,1,39,826,50,317,50,38,1243,38,1281,9,5,2,12,8,0,0,0,0,0,0,0,66,2757,Married,PHD
1047,65486,0,1,29,245,19,125,37,67,479,14,493,1,4,2,10,2,0,0,0,0,0,0,0,63,2207,Widow,Graduation
1048,79143,0,0,2,650,37,780,27,167,1629,32,1661,1,6,9,13,3,0,0,0,0,0,0,0,56,2846,Married,Master
1049,35790,1,0,54,12,6,20,30,1,66,3,69,2,2,0,3,7,0,0,0,0,0,0,0,43,2702,Single,Graduation
1050,82582,0,0,54,510,120,550,156,40,1135,241,1376,1,4,9,7,1,1,0,1,0,0,2,0,43,2181,Divorced,Graduation
1051,66373,1,1,57,328,9,124,12,24,388,109,497,7,4,2,10,3,0,0,0,0,0,0,0,42,2541,Married,Graduation
1052,82384,0,0,55,984,51,432,180,120,1577,190,1767,1,3,10,13,1,0,0,0,0,1,1,0,65,2746,Together,Master
1053,70287,0,0,30,295,35,482,121,120,1013,40,1053,1,5,5,10,3,0,0,0,0,0,0,0,54,2612,Divorced,Graduation
1054,27938,1,0,31,13,0,8,2,1,19,5,24,1,1,0,4,3,0,0,0,0,0,0,0,32,2221,Single,Graduation
1055,55954,0,1,63,447,0,28,0,0,432,43,475,3,8,2,6,7,0,0,0,0,0,0,0,52,2277,Married,PHD
1056,75777,0,0,12,712,26,538,69,13,1278,80,1358,1,3,6,11,1,0,0,0,1,1,2,0,38,2519,Single,Master
1057,66653,1,1,18,452,18,102,16,18,600,6,606,4,4,2,12,3,0,0,0,0,0,0,0,45,2819,Together,Graduation
